단어,설명
CDOs (Collateralized Debt Obligations) ,"CDO는 다양하게 분석된 비교적 신용도가 낮은 회사채나 기업대출을 모아서 동 자산의 현금흐름에 근거하여 유동화 증권을 발행하는 것을 말한다. 이런 CDO 발행의 기본전제는 해당자산 풀(Pool)의 평균 수익률이 발행 유동화 증권의 수익률에 비해 높고, 분산된 자산의 집합을 통해서 전체 자산 풀(Pool)의 채무불이행(Default Probability)을 적정하게 통제될 수 있다는 것이다. CDO는 발행목적상 자산관리를 목적으로 하는 Balances Sheet Cods와 재정이익을 거두기 위한 Arbitrage Cods로 구분할 수 있다. "
Fallen Angel ,최초 발행시에는 투자적격채권이었으나 채권발행 이후 기업이 부실화되어 투자부적격으로 신용등급이 떨어진 고수익채권을 말한다. 
LBO 펀드 ,"대기업의 영업을 담당하고 있는 임직원이 시장동향과 사업확장 및 성공 가능성을 확인하는 자에게 대기업의 사업을 분리하여 회사를 신설하고 신설회사의 주식을 담보로 하여 분리회사의 인수대금을 지급하는 형태인데, 부채를 이용하여 기존 지분을 거의 매입하는 금융기법이다. 사실상 아직까지는 우리나라에 없는 시장이다. 매우 복잡한 금융기법을 쓰기 때문에 많은 금융인들이 지적 호기심을 갖고 있다. LBO 대상은 매우 안정적인 cash flow를 갖고 있으나 주식은 매우 저평가되어 있는 기업들이다. 우리나라는 정크본드 시장이 사실상 존재하지 않으므로 은행의 대출 관행이 아직 선진화 되지 않은 관계로 LBO환경이 좋지않다. "
LBO(Leveraged Buyout) ,"LBO란 매수대상기업의 자산을 담보로 금융기관으로부터 자금을 차입하여 기업을 매수하는 M&A의 한 방식이다. 기업을 매수한 후에는 매수한 기업의 자산을 매각하거나 기업공개 등의 방법을 통해 차입금을 상환한다. LBO의 대표적인 자금조달 수단으로는 LBO Loan, LBO Fund, Junk Bond 발행 등의 방법이 있다. LBO Loan은 기업매수자가 매수대상기업의 자산을 담보로 은행 등 금융기관으로부터 자금을 차입하여 기업을 매수하고 기업매수 후 피매수기업의 자산을 매각하여 차입금을 상환한다. 높은 위험부담 때문에 대형은행 등을 중심으로 신디케이트가 구성되어 자금지원이 이루어지는 것이 일반적이다. LBO fund는 투자은행(Investment Bank)이 직접 LBO 자금조달을 위한 펀드를 설정하고 투자자(대형은행, 생보사, 연기금 등의 기관투자자)들로부터 자금을 모집하여 매수대상기업의 주식을 매입함으로써 경영권을 확득하는 방법이다. "
MMDA(Money Market Deposit Account),"(정의)은행이나 수산업협동조합·농업협동조합에서 취급하는 금융상품의 하나로, 본래 미국의 은행이 투자신탁회사의 단기금융상품인 MMF(money market funds)에 대응하기 위해 도입한 고금리 저축성 예금.국내에는 1997년 제4단계 금리자유화 이후 도입되었으며, 은행시장금리부 수시입출금예금 또는 단기금융시장 예금계정·화폐시장 예금계정이라고도 함.(해설)보통예금처럼 입출금이 자유롭고, 각종 이체와 결제도 할 수 있으며, 예금자보호법에 의하여 5000만 원 한도 내에서 보호를 받을 수 있다. 또한 실세 금리를 적용하여 보통예금보다 비교적 높은 이자를 지급하며, 가입대상에 제한이 없어 일시적인 목돈을 운용하는 데에 적합하다는 장점을 지닌다. 단 500만 원 미만의 소액이거나 법인의 경우 예치기간이 7일 미만일 때는 이자율이 낮거나 없을 수도 있다."
Pay-off ,보험금을 지급하고 금융기관을 폐쇄하는 정리방식이다. 자산부채인수(P&A)방식이나 부보예금이전(Insured Deposit Transfer:IDT) 정리방식이 최소비용정리방식이 아닌 것으로 판단될 때 사용하는 정리방식이다. 대개 지급금액을 고객에게 송급한다. 여기서 P&A방식은 건전한 부보예금취급기관이 예금서비스의 계속성을 보장하면서 부실금융기관 자산의 일부 또는 전부를 매입하고 부채의 일부 또는 전부를 인수하여 혼란을 최소화하는 정리방식이다. 한편 IDT방식은 부실금융기관의 부보예금계좌를 건전기관에 이전하는 정리방법으로 FDIC 등은 이전하는 총예금에서 프레미엄을 공제하여 이전기관에 현금을 지급하고 이전기관은 부실은행 고객에게 부보예금을 지급하거나 새구좌를 자기은행에 신설한다. 
Quarterly Bankruptcy Index(QBI) ,"QBI는 미국 파산법원에 신청된 파산건수를 1,000개를 기준단위로 측정하여 설계된 지수이다. QBI에 대한 선물과 옵션이 CME(Chicago Mercantile Exchange)에서 거래되고 있다. QBI는 특정분기까지 누적된 파산신청건수를 1,000으로 나누어 계산한다. 예를 들어 특정분기까지의 누적파산신청건수가 350,000이면 CME QBI는 350이다. QBI는 채무불이행위험을 헤지하기 위하여 CME-QBI 선물이나 CME-QBI 옵션을 활용한다. 최저가격변동폭(tick)은 인덱스포인트 단위당 0.025 혹은 25 filing이다. "
Turnaround Cost ,"재무구조 악화에 따른 과다한 금융비용으로 자체 생존이 어려운 기업이 향후 생존이 가능한 수준으로 재무구조를 개선하기 위하여 투입되어야 하는 비용을 말한다. Turnaround Cost 산정의 핵심은 사업가치 평가에 있다. 사업가치는 미래 영업현금 흐름 추정으로 귀결되며, 미래 영업현금 흐름을 추정하기 위해서는 시장 성장성, 경쟁력 평가, 시장 구조변화 분석이 체계적으로 이루어져야 한다. "
"가교은행 (架橋銀行, bridge bank) ","가교은행은 부실금융기관의 정리(인수나 청산)를 위해 정부가 또는 정부기관이 출자해 설립하는 정리금융기관이다. 가교은행의 설립 목적은 부실금융기관이 청산될 때 생길 수 있는 금융시장의 충격을 최소화 하는 것이다. 가교은행은 부실금융기관을 인수할 대상자가 나타날 때까지 일시적으로 부실자산을 맡아 제한적으로 예금, 출금, 송금 등 기존의 업무를 유지하면서 정리절차를 진행한다.부실금융기관을 처리하는 방법에는 회생에 필요한 자금을 지원하거나 다른 금융기관과의 합병을 통해 정상화하는 방법과 우량 금융기관이 부실금융기관의 자산이나 부채를 승계하는 방법이 있다. 가교은행을 설립하여 부실금융기관을 처리하는 방법은 대부분 규모가 큰 부실금융기관을 정리할 때 주로 이용되는데, 외국의 사례를 통하여 볼 때 대부분 한시적으로 운용되며 부실금융기관 정리업무를 끝내고 나면 해체된다.?"
가산금리 (加算金利),"고객의 신용도나 대출기간 등 여러 가지 조건에 따라 추가되는 금리를 말한다. 가산금리는 크게 신용가산금리와 기간가산금리로 구분된다. 신용가산금리는 직업이나 거래실적 등 개인의 신용도를 따져 결정하고, 기간가산금리는 대출금을 연장할 때 적용되는 추가금리다. "
"가압류 (假押留, provisional attachment) ","금전채권 또는 금전채권으로 환산할 수 있는 청구권을 장래 강제집행이 불가능하게 될 경우, 채권자가 장래의 강제집행을 보전하기 위하여 채무자의 재산을 잠정적으로 압류하여 현상(現狀)을 보전하고 그 처분권을 박탈하여 두는 것을 목적으로 하는 집행보전 절차로서 기간이 도래하지 아니한 청구에 대하여도 할 수 있다. 집행보전절차라고도 하는데 가압류는 보전될 권리를 소송물로 하는 본안소송 및 강제집행의 존재를 예정하는 점에서 부수적인 성격을 띠고 있으나, 그 자체는 가압류명령을 발하는 절차와 이 명령을 특별한 채무명의로 하여 행하는 집행절차로 나누어지고, 이 두 절차는 각각 판결절차와 강제집행절차에 대응하므로 강제집행에 관한 규정이 원칙적으로 준용된다(민사소송법 707조). 가압류의 재판절차는 채권자의 신청에 의하여 개시된다. "
"가처분 (假處分, provisional disposition) ","권리의 실현이 소송의 지연이나 강제집행을 피하기 위한 채무자의 재산은닉 등으로 위험에 처했을 경우, 그 보전을 위하여 그 권리에 관한 분쟁의 소송적 해결 또는 강제집행이 가능하게 되기까지 잠정적/가정적으로 행하여지는 처분을 말한다. 가처분에는 민사소송법상 소송물에 관한 가처분과 임시의 지위를 정하는 가처분이 있다. 전자는 금전채무 이외의 특정물의 급여/인도 그 밖의 특정의 급여를 목적으로 하는 청구권의 집행보전을 목적으로 하는 것이고, 후자는 다투는 권리관계에 대하여 임시의 지위를 정하는 것을 목적으로 하는 재판이다. 가처분명령은 가처분의 신청을 인용하는 재판을 말하는 것으로, 가처분집행의 채무명의가 된다. 가처분명령의 요건은 계쟁물(係爭物)에 관한 가처분과 쟁의있는 권리관계에 대한 임시지위를 정하는 가처분이 있다. "
"간접금융 (間接金融, indirect financing) ","기업이 경영에 필요한 자금을 조달할 때 사내에 유보되어 있는 내부자금으로 충당하는 것을 내부금융이라 하고, 외부로부터 차입하는 것을 외부금융이라고 한다. 외부금융는 다시 직접금융과 간접금융으로 구분되는데, 직접금융은 기업이 자금조달과정에서 금융기관을 개입시키지 않고 공개시장(증권시장)을 통해 주식 또는 사채를 발행하여 투자자로부터 직접 자금을 조달하는 것을 말하고, 간접금융은 금융기관을 통해 일반으로부터 흡수된 예금을 차입하는 것을 말한다. 간접금융이란 자금을 필요로 하는 최종 차입자와 자금을 공급하는 최종 대출자가 직접적으로 연결되지 않고 그 사이에 신용중개기관이 존재하여 최종대출자의 자금을 흡수하여 이를 최종 차입자에게 공급시켜주는 금융관계를 말한다. 다시 말하면, 금융기관이 일반 대중으로부터 예금을 받아 이를 자신의 명의로 필요한 사람에게 대출해 주는 방식이다."
"감자 (減資, reduction of capital) ","감자란 자본감소를 줄인말로 기업(주식회사나 유한회사)이 단수(端數)자본금의 정리, 회사분할, 합병, 사업보전 등의 목적으로 자본총액을 줄이는 것이다. 감자의 대부분은 회사재산이 손실에 의하여 자본액을 밑돌 때 결손을 메우고 미래의 이익배당을 가능하게 하기 위한 것이며, 명의상/계산상/형식상의 감자가 보통이다. 그러나 사업내용의 축소 등에 의하여 불필요하게 된 회사재산을 사원이나 주주에게 반환하기 위하여 행하는 실질상의 감자도 있다. 감자의 방법으로는 주식의 액면금액을 감액하는 방법, 주식소각(消却)이나 주식병합(倂合)을 통해 주식수를 줄이는 방법, 그리고 이 두 방법을 병용해 사용하는 방법 등이 있다. 감자는 채권자의 담보를 감소시키고 주주의 이해관계에 영향을 미치므로 주주총회의 특별결의 및 채권자 보호절차를 필요로 한다. "
강제경매 (强制競賣) ,"민사소송법상의 부동산에 대한 강제집행절차(민사소송법 601~666조)에 의하면 강제경매는 법원에서 채무자의 부동산을 압류/매각하여 그 대금으로 채권자의 금전채권의 만족에 충당시키는 절차이다. 부동산에 대한 강제집행 방법으로는 강제경매와 강제관리의 2가지가 있는데, 양자는 모두 채권자의 신청에 의하여 개시되지만(599조 1항), 채권자는 그 중 하나를 선택하거나 병용할 수 있다. 예를 들면, 먼저 강제관리를 하면서 매각에 적당한 시기를 기다렸다가 강제경매를 할수 있는 것과 같다. 강제경매에 의하여 취득한 부동산 소유권은 등기를 하지 않아도 효력이 발생한다(민법 187조). "
